Name,Id,ExternalInfoId,LanguageType,Members
an horse,a0560d49-3513-47b1-936e-3a35a4d65095,17406450,English,
angus & julia stone,0e9bf739-5e71-49b7-b62b-989945d80b2d,8500015,English,
animal collective,cf0b584b-145b-484a-b5c4-a5236c9681fb,30865414,English,
ant & dec,9d6926e8-6f7b-44e2-bf23-05ebd9266c47,464847,English,
antony and the johnsons,1b6abf41-0a1e-4bc2-bb61-84d576db9f87,2016302,English,
apollo 440,af97239a-8c01-4754-a4a9-10082e9d8629,1553593,English,
archers of loaf,9b06bd1c-d7a7-4e3c-83cf-38c28e6d1ada,297298,English,
arms and sleepers,23230098-fb78-441c-98d7-34d7110f8fee,25826360,English,
army of freshmen,ffd8fa2b-f595-40e9-bdd1-91a52d6a20d9,11881692,English,
army of lovers,76834083-0568-4ef7-baee-a9ed0d232c3a,446065,English,
arrows of love,78aa54e7-e578-49b0-ac41-5ff6a0cfe0b0,19819187,English,
the jazz messengers,1d0f163d-7c37-4353-a90c-c4e00695c518,43686772,English,
art in manila,2b16a60f-5aef-4bad-bf32-b58a6d2939a1,11535134,English,
art of noise,51467acd-f400-45af-86fc-948d7f4006dc,179330,English,
artist vs. poet,2bb8c0f3-8dfb-419c-abbd-16854b0e395c,29012301,English,
asian dub foundation,bb116d92-bd9a-4579-9558-9da783b05fe0,749936,English,
asleep at the wheel,37141873-2e72-4beb-865d-cdd401bbd3b1,844676,English,
at all cost,09fad66b-2b71-4e5e-9906-9310baa48a0f,25224418,English,
at the drive-in,a896907c-8d3a-4a41-ba8c-12eeee615b59,280465,English,
at vance,9ed9cfab-3e9d-4380-8609-df5ede310d9e,4054128,English,
attack in black,876b7646-b6e5-46f9-9d72-9d4e7eacb7e5,12254503,English,
auf der maur,0862f452-e428-4874-9758-2e0f4ee271d9,821493,English,
average white band,b745c2c3-3c99-4af8-a969-4f1442078ca7,180578,English,
azul y negro,cdb271af-051d-452b-8000-3e0b9ebdada3,16761029,English,
b. bumble and the stingers,822bdf66-846f-4c55-80f5-699c927c97fa,7068649,English,
baby's gang,f1eb1cfc-9cfc-412d-a08d-725cbdff87fa,29668369,English,
backstreet boys,4e975a2a-508a-4588-9959-187ffe1ef0b3,11778870,English,
backstreet boys,357d6e74-4ead-43d9-aa7c-e2bc7d5adaa6,11778870,English,
bad boys blue,f4e45c6d-474d-4001-86c9-02ffb1c5c413,2253993,English,
baha men,e52eab8e-4675-4069-ab01-f494ba045224,182510,English,
balaam and the angel,7849f4ac-b740-48d8-8e9c-4faec9c57dbd,9730906,English,
band,fe6b95d9-05ef-4481-bdae-2934896d0c23,4499,English,
band of gold,d368e15b-a22d-4317-9af3-f17bad70c2e3,2439958,English,
band of horses,188b21a9-7726-44d7-8aff-5a04919c4c6b,3623280,English,
banda black rio,31b5dcec-0e24-4ae4-b527-bc6eed92daf9,9466530,English,
banda de turistas,44d22bec-3ac0-4253-8c98-8523639ab327,2795517,Spanish,
banda desenhada,13c0455a-5d27-425f-a7c4-f9d037b67196,9856,Portuguese,
bang gang,61645b14-8404-48bb-895a-e68564f9c327,14357232,English,
bang on a can,6482bb83-84f1-48d5-8cea-dd2b5c17ebd5,2460885,English,
bastard sons of johnny cash,13a24cda-f2c4-446c-8f81-5b3d97a551aa,16228993,English,
bay city rollers,bc65a660-02ae-4925-b2d2-981193bd6f54,30508,English,
be your own pet,0c4e7485-d136-4388-ab1b-7fbae9080588,1876333,English,
bear in heaven,3d29cee3-9020-40e2-a98f-f5303d4b8675,16218024,English,
beastie boys,bd38b879-4256-4a88-b275-10911a17ee6f,3735,English,
beat club,6dbdc501-aeda-498f-985e-230ad9bf6346,1613668,Spanish,
bedtime for toys,b06d8ba3-2569-4068-81ba-61b5e5093869,4760747,English,
belle and sebastian,2d556758-3b1a-48a3-b556-efdcc8d7dd84,4267,English,
benassi bros.,b6055de1-029e-438d-a7dd-f5a71485d1e3,6246223,English,
benin city,b72cca27-1e5e-476c-bafb-bc8e4bef461f,317744,English,
benny crespo's gang,70b4ec6b-27f6-49d0-a160-cc5691e3dfa4,29298268,English,
beto y los fairlanes,0fc32011-9259-44ac-910f-84c332debbf1,12635446,English,
between the buried and me,48ccec70-9fff-4462-888d-0947fa91d3c3,1391690,English,
beverley sisters,6f0decf6-d9b3-4360-8173-764bcfc08668,192236,English,
big in japan,13ed7922-a8a8-476d-b265-3ccf6958e4c3,20514370,English,
bill haley & his comets,99c9ccd5-517e-4879-b901-9574c9a8f29f,51917,English,
birds of tokyo,f0462e40-9d58-4e64-b62f-ac538509ec54,9497127,English,
birds of wales,24f7480d-def0-4f82-858c-0a86a808ee67,6835467,English,
the biscuit brothers,dc228d74-2767-478d-99f5-3c617309afbd,3861777,English,
bixiga 70,068f93c6-8a03-4be3-a0ab-88f2c84e8aaa,4190413,Portuguese,
bj the chicago kid,719af9c7-4ae2-477c-999b-52b04d74bc5c,41507014,English,
black moth super rainbow,5b7aac80-04ee-4398-aa0a-a953c32e3e8e,10677917,English,
black rebel motorcycle club,b865c07f-9890-4ea6-be99-0a7134796369,329893,English,
black tiger sex machine,215a9697-5f94-4c85-968c-6637862b9d65,48878668,English,
blanket of secrecy,d57020f9-eb24-49d9-b467-a4dcb96a4bd0,14705456,English,
blood and roses,592e08ff-ebfb-4e34-b372-1e5ef0a66368,8981929,English,
"blood, sweat & tears",56d90c89-9e7c-45f0-8ffc-5d31adb7bfb1,148356,English,
blu and exile,210b5f44-3864-4cfb-8194-0fc70abe500f,11526243,French,
blue rodeo,120546f7-8741-485d-ba45-b06684285873,849443,English,
boards of canada,130f807b-04e2-4e12-b8cd-f4edb9a1f16b,101580,English,
boca 45,3f60ca35-ec63-4cbf-8d64-ddfd68b58ab0,2952537,English,
bodies of water,306e2267-1e40-4484-95ee-4bc3c154473a,17685298,English,
body & soul,1c1e047d-e2e3-4379-8645-bc3aaddb8076,2061709,Portuguese,
bolts of melody,2be1c189-a399-44a6-946e-0ae9adc80d4f,27076979,English,
