Name,Id
!deladap,30feb9d1-b9fe-46fb-858d-6b4175de704b, fixed in WIE
b line brothers,729f6455-b8e0-4228-8592-4f14a1590520
b rocket tha prophet,15ed8730-6f09-44a8-bcd6-d6d774955623
b.i.c (bitches is crazy),2d49bcff-e2bd-408a-be63-480479122363
bacckstreet boys,4e975a2a-508a-4588-9959-187ffe1ef0b3
band aparte,fdcbe543-c09a-4c5b-9848-032fea431791
band marino,2d3ef86c-7e6b-49ce-a1ad-b82adfc51e76
banda de turistas,44d22bec-3ac0-4253-8c98-8523639ab327
banda desenhada,13c0455a-5d27-425f-a7c4-f9d037b67196
banda magda,6bba4c21-f82b-4658-b9c8-17a074316a24
banjo or freakout,44cd1b19-9713-4f22-8c8e-4dd09e454b96
barely broke family,8f4878a9-a14c-470c-9a23-c746bdadfdab
barrio jazz gang,133ef006-4b63-4fb0-8ab4-5bfb2633bb16
bastard child death cult,9fa29e8f-2c75-4ab6-bc26-ef5778af0028
beasts and superbeasts,70897226-fcbb-4f59-b71c-36b6e472afd7
beat club,6dbdc501-aeda-498f-985e-230ad9bf6346
beauty in chaos,673ad759-8a2b-4086-a32e-1b5778cf85c8
benny sharp & his orchestra,f0826bb7-e71f-4a35-a198-3e516a259d4a
benny turner and real blues,67625e23-24ea-45cb-b90c-6b96eaed5901
beppe delre quartet,ed82fea5-097d-44e0-8b52-33a4834644d1
beyond the wizard's sleeve,4931d31a-d88d-4df4-bca1-e64be162f33f
big cheese all stars,8c96da9e-bd45-4300-bd9c-7b773b200aa6
big wy's brass band,9199c5d5-8a98-4bb1-87ad-5760feb53171
bill and belle reed,130bd50e-28bd-44cc-b6b9-728d9c405596
bill c da don,ef58a97d-b467-4b2c-9ed3-727529206b23
bill rice band,99845b3a-b097-4ada-8878-32776ee2aff6
bird by bird,5ef7d54f-de13-437a-9cf2-471c148c0bd0
birds of olympus,751dce5f-2d96-45aa-be54-07f658aa38de
birthday club,3ce32b30-bb82-4224-bcf4-f57ce145337a
biscuit brothers,dc228d74-2767-478d-99f5-3c617309afbd
bixiga 70,068f93c6-8a03-4be3-a0ab-88f2c84e8aaa
bizkit with butta on the keytar,ca5cd433-4272-455b-9e1b-1cafac16f8b6
black belt eagle scout,17ef9771-efd6-4f4c-aad0-f21ae73d5cc3
block 16,50a40633-4f40-468e-8ffb-1f1b723358f8
blu and exile,210b5f44-3864-4cfb-8194-0fc70abe500f
bob reed & his band,d7c24421-16c8-42a8-b6bf-824e89261629
bob zuga & his orchestra,5c088d10-55dc-453d-9ccd-4efe07cf773a
bobby hughes experience,a5957733-cdf0-4357-b1e6-edb3c97cede1
bogart and the addictives,8c62365f-169c-4a92-a7b4-85e7da9f2e76
