Name,Id,ExternalInfoId,Members
christine and the queens,731c2203-1319-4811-afed-9a5fe498d741,42065772,
city,02820fa7-32f6-4541-ac11-60222760c1d0,5391,
city boy,3d571058-ed0e-4e17-ad6d-82d1c8fca285,34162814,
city of dreams,70ac5a9a-1528-4ced-843a-4422c6bccbf6,17007458,
clancy brothers,f9a45224-c900-44f1-9e61-ecdbc3dbae36,4016864,
class 76,82385be2-7a12-4a80-be9a-a4cbae19d22b,20099674,
cleveland orchestra,2e44f031-6193-4ff2-9b3a-143ea060022a,148692,
club,2b757396-6df2-4c3c-842e-770f762cc934,309136,
columbia symphony orchestra,030d5897-e64b-4807-bc9f-e94fc621d943,150691,
con brio,6fbbaf81-76e1-4a84-b11e-60e821319e13,23848284,
concertgebouw orchestra of amsterdam,fcc0598a-a44d-4d55-a6e2-883fb93f9681,254325,
construction & destruction,65ecced8-bf30-4fe8-8c82-430e6d16c68d,239038,
count basie & his orchestra,ecb8decc-8707-4257-a6bf-8afc3f400b37,68090,
curse of lono,bf98f1d0-f423-43b0-aad1-980bfc862fda,96310,
czech national symphony orchestra,c36d7459-285e-4f83-b282-d7814a2cd5e2,16248374,
dag for dag,ab156a35-a556-4c17-948b-7ed097a0ff35,483850,
damian cowell's disco machine,7523732a-83cc-4d5d-a3f0-f5c0a24f1f2b,34174270,
dan lacksman's alliance,36b28019-7036-4f3c-939c-9a6f6566c985,35623778,
daniel ellsworth & the great lakes,3d7b4c72-0720-4b4b-b4d8-96511ea5842b,36255625,
daphne willis and co.,263bbece-c748-4ce8-8cce-1937cabef805,37066892,
dave dee dozy beaky mick & tich,792945d4-bf42-4056-a0e9-ab4c5df24a4a,20949270,
daylights for the birds,5292485b-89df-4c47-b230-23a06c0bed76,3410,
death from above 1979,be511273-9148-4e90-a464-a7d0034823ce,30858880,
death hymn number 9,5542d0ce-bb4b-4b71-a59a-47c2eb6109c0,13756,
death of a dream,2c3ac9f8-d923-446c-aa25-4946145f8f96,44785,
deidre & the dark,1df8fbfc-9ab6-4eaa-a1ef-2ac06754e573,19251804,
del the funky homosapien,75b66321-3837-456f-9542-4023e56615db,582456,
delaney & bonnie & friends,8de939c3-776c-4616-b7af-1ca83a3125bf,32501349,
dent may & his magnificent ukulele,b6268576-36e7-4bbe-b41e-7a41432f6d49,20684900,
dexter romweber duo,27488e9c-3800-4895-8e0d-74d040d488e1,6897451,
die group,3caf0fea-8773-493d-afe9-e02b326f5777,73022,
dionne & friends,d813963d-2f6e-4e6f-9390-510af91beccf,20560218,
dj cam quartet,e5ac76e5-25da-452e-a1fa-1e2c2250a0bc,57901059,
dj jam master j'son,6452c34b-c62c-4c48-b294-1d1ce8491137,52733274,
downtown boys,3b4ed760-17b1-4379-8ec0-79c5be11b9f8,53104958,
dragon inn 3,dc998147-1e23-4346-8aab-affa715a7662,2533663,
dreams in static,93eb4cc8-2adb-412d-b06b-37c5718df3f4,44785,
driving by night,ab8fd1f3-592b-4bde-a3a5-a66faf7a44c4,80750,
"drop dead, gorgeous",aaff84fb-8c34-4c5b-91ff-b30381560004,6102719,
drums & tuba,6b3ff7cd-92c8-47e5-9ceb-13188aa56dd6,7950,
dub disco band,3bd42648-3e0d-42dd-a249-a2af2b6f0e98,7966,
dubious brothers,e58cc2d3-0084-41c2-890a-13b287b4c0c0,7327239,
duo noire,da29681d-958e-4dfb-a582-10fd6398b44a,923942,
echo & the bunnymen,e8877c65-0091-44a0-9e83-fd5029533add,238901,
egypt for now,5e7f4d0b-00d8-47c2-8c30-9a5ea94dc64c,8087628,
el conjunto nueva ola,9ff03053-6392-4348-9631-2a24e8295213,154677,
el debarge,e1b28e36-19f9-47d5-a105-b470ad68a359,1689439,
el gallo,94587843-9a63-44fa-9aae-5c712c039343,32871759,
el michels affair,d5411cad-4d7f-445d-bcaa-f1f58d74386b,57381617,
el mundo,e860ccb1-0dcc-4d0b-bf26-90eadf1f387d,539680,
el tule,ff6c360d-b07a-4034-9498-abcedef1e04e,5316509,
"elana james and her hot, hot trio",9e0c5bc1-eb25-475d-89c4-4c7222592858,6521957,
elastic band,66dbfbfc-cad9-4ef6-8b38-f9d262495fc1,182115,
empire of the sun,39587b20-a686-4011-b906-edc2a33d35f3,306530,
ephraim owens quintet,b0557e38-6b69-4ea5-8e35-cdf5f958252e,2684272,
epic beard men,92b5cbca-6cfa-4cbe-b4b9-add48fef1ddd,162110,
esther and abi ofarim,f9615de0-c6e0-4af7-9524-adb77da36df7,6906542,
evan christopher's django a la creole,54594649-b7d9-4950-b416-ece0975d197a,2716158,
eyes of love,21b549b8-6abd-4929-b30b-e3bebd37b5fd,54622065,
f & w,e7aa82bf-7c00-43ca-8d70-33b9c6248dc4,10831,
f for fake,17175543-1561-46d8-9ef6-4c671b4ad42d,1492011,
f&f,c77c1fe3-fedc-4a88-9e95-80888bfd53c1,10831,
f&m,081f7fb9-d233-4231-a772-a180ae212cbf,10831,
facts & fiction,54b2fb5f-2438-460a-8348-f7ca60ea1146,58617,
